nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,label
0.276765466,0.631085694,0.002070445,0.99994266,0.264255822,0.616242945,-0.019469075,0.999932885,0.264390349,0.612534106,-0.019674333,0.999918938,0.264432609,0.608105779,-0.019632034,0.999946952,0.263594449,0.618220031,0.014100794,0.999962807,0.263273239,0.616628289,0.013777999,0.99995923,0.262858421,0.614890039,0.013703237,0.99997592,0.269425511,0.580016553,-0.077472918,0.999942899,0.268964589,0.586201668,0.073964186,0.99995172,0.288331598,0.621661544,-0.013554866,0.999850988,0.287886083,0.626493692,0.028449822,0.99988997,0.325556576,0.559681714,-0.162020743,0.999913216,0.344486028,0.594993174,0.17760995,0.999765337,0.327719033,0.732671559,-0.222015068,0.914259434,0.35504806,0.741012156,0.169697672,0.087429956,0.250653952,0.729960203,-0.167955592,0.941424251,0.268966854,0.742047727,0.054607235,0.347804308,0.234371036,0.731666267,-0.191310123,0.943671227,0.245002434,0.753946424,0.039966714,0.403436959,0.233525291,0.709855974,-0.187831655,0.939591587,0.243653163,0.729625523,0.034747247,0.381825596,0.238604367,0.707087934,-0.16425246,0.888504207,0.25105086,0.719508588,0.045501057,0.357432216,0.489106864,0.569756806,-0.105107948,0.999899745,0.485346347,0.589410484,0.105014257,0.99990797,0.603511393,0.67260778,-0.043982267,0.257359356,0.593899846,0.688907206,0.122210287,0.021497563,0.718401492,0.688078344,0.010421433,0.650432885,0.708584368,0.705141246,0.196894407,0.089361005,0.74192673,0.67647928,0.009534065,0.623004436,0.727561355,0.698118091,0.200536311,0.203461528,0.729735076,0.772744119,-0.079679541,0.721422791,0.716524541,0.777875662,0.139153108,0.199316487,plank_good
0.276748061,0.631078959,0.002068399,0.999945819,0.264303356,0.616512895,-0.020107251,0.999936759,0.264462858,0.612645149,-0.020302081,0.999923587,0.264576197,0.608234406,-0.02025646,0.999949992,0.26365009,0.618395269,0.014101782,0.999964774,0.263378769,0.616661429,0.013779223,0.999961257,0.263061643,0.614872336,0.013704887,0.999977052,0.269646466,0.580001533,-0.081750162,0.999946654,0.26936847,0.585633814,0.074847713,0.999954224,0.288472235,0.621348202,-0.013875802,0.999860227,0.288069934,0.625128746,0.028747194,0.999896228,0.327484757,0.561526477,-0.16502358,0.999916077,0.344577104,0.590005577,0.186278552,0.999770343,0.332395822,0.732589245,-0.21725215,0.916198254,0.356347561,0.734728992,0.192915112,0.082813106,0.251367599,0.7294662,-0.136878788,0.942894876,0.271172106,0.732362628,0.094335712,0.330932707,0.234988958,0.731712461,-0.156206444,0.944952846,0.24786596,0.739200771,0.085731708,0.387748718,0.233533099,0.71159476,-0.151344672,0.940961301,0.245414168,0.722665071,0.079415672,0.366263062,0.238694146,0.708916843,-0.131735846,0.890559494,0.251750439,0.715577543,0.085248217,0.344181985,0.488513261,0.571479976,-0.106820159,0.999899089,0.485241085,0.588700533,0.106729954,0.999907494,0.60372138,0.672598839,-0.044222787,0.2590141,0.594103456,0.687804759,0.124063924,0.022470001,0.718362987,0.688252747,0.015281611,0.651620328,0.708584368,0.705131471,0.204438075,0.091704369,0.742323935,0.676193058,0.015449687,0.618772328,0.728971303,0.697989464,0.209283352,0.206729531,0.72878474,0.772696972,-0.073924877,0.720907271,0.716259956,0.778064787,0.150731713,0.203185499,plank_good
0.276747018,0.631230891,0.000340571,0.999948025,0.264400691,0.617153764,-0.022674186,0.999939561,0.264577955,0.613059223,-0.022863068,0.999926984,0.264730632,0.608571768,-0.022815946,0.999952257,0.263710082,0.61887908,0.012751674,0.999966204,0.263432056,0.616986871,0.01243254,0.999962628,0.263113081,0.615008593,0.012360703,0.999977827,0.269835383,0.579976201,-0.084480003,0.999949515,0.269562155,0.58548981,0.0749228,0.999955833,0.288572967,0.621302009,-0.015933407,0.999866962,0.288213223,0.62488395,0.02814866,0.999900699,0.328179836,0.561524212,-0.167535827,0.999918222,0.344813019,0.588961959,0.18798539,0.999772787,0.334056407,0.732561529,-0.213862211,0.91686821,0.356856465,0.733382761,0.188490942,0.078970551,0.251472026,0.728921592,-0.124892883,0.942889154,0.271553487,0.729415178,0.081153661,0.314126402,0.235256568,0.731271744,-0.143239751,0.944833338,0.248670086,0.734454274,0.070093155,0.370969743,0.233537465,0.711667836,-0.13880083,0.940841734,0.246053264,0.718728662,0.064392887,0.349740773,0.238739491,0.70921278,-0.119684219,0.890024304,0.252001911,0.713251591,0.072047405,0.329594314,0.4874942,0.571755469,-0.107755557,0.999900043,0.484878182,0.588247359,0.107665062,0.999908388,0.603431642,0.672595322,-0.044140916,0.261495888,0.594046474,0.687832952,0.124665245,0.023718251,0.718199432,0.68827951,0.021428457,0.65580672,0.708325386,0.70513916,0.210300162,0.095954798,0.742333651,0.675251424,0.022057805,0.615220666,0.728965521,0.697323978,0.215781868,0.211392254,0.728793442,0.772514522,-0.069431581,0.722909212,0.716171384,0.77769345,0.15608713,0.210147038,plank_good
0.276860833,0.631303132,0.000383827,0.999950528,0.264743388,0.617396355,-0.022760293,0.999942482,0.264932245,0.613187432,-0.022946199,0.99993062,0.265134811,0.608672738,-0.022897122,0.999954522,0.264019191,0.619158685,0.01265969,0.999967754,0.263746232,0.617242098,0.012340429,0.999964297,0.263423055,0.61523509,0.012270007,0.999978721,0.27035591,0.579923093,-0.085040979,0.999952435,0.270072073,0.585148692,0.074491419,0.999958038,0.288940728,0.621292949,-0.015906665,0.999873519,0.288480848,0.624832153,0.02815076,0.999905348,0.328623414,0.562495053,-0.16724439,0.999920011,0.344843358,0.587193668,0.186798424,0.999776602,0.334350884,0.732625306,-0.200061142,0.918770134,0.356968135,0.730993807,0.188335583,0.076107323,0.251565993,0.728467584,-0.098165549,0.943893611,0.272163182,0.728285491,0.090752877,0.303245813,0.235493928,0.73083812,-0.11337956,0.945801258,0.249127313,0.73363024,0.082547195,0.361410975,0.233593538,0.711712956,-0.109811388,0.941866994,0.246585339,0.718028009,0.077350706,0.339978933,0.238793865,0.709379017,-0.093014732,0.891943514,0.252171665,0.712572098,0.08221785,0.321851432,0.4873133,0.572018683,-0.107610665,0.999899685,0.484868407,0.587054312,0.107523777,0.999908149,0.603470981,0.672292888,-0.043126866,0.273511678,0.594084859,0.687796712,0.124486372,0.02595285,0.717884064,0.688279629,0.02159581,0.665435374,0.707881093,0.705137849,0.209034413,0.101401381,0.742409527,0.674706697,0.022236474,0.620084226,0.728947639,0.697163224,0.21363233,0.218779981,0.728799641,0.772303462,-0.062065147,0.729170859,0.715800464,0.776574552,0.156136706,0.218373179,plank_good
0.276846051,0.631175637,0.005714317,0.999953628,0.264743924,0.617078185,-0.01883265,0.999946177,0.264960438,0.612867177,-0.019016199,0.999935091,0.265237629,0.608449996,-0.018967519,0.999957442,0.263983279,0.618692696,0.016981088,0.999969721,0.263715655,0.616437733,0.016665192,0.999966383,0.263409346,0.614090502,0.01660165,0.999979913,0.270804197,0.579803586,-0.084408566,0.999955893,0.270375848,0.584413052,0.077020235,0.999960542,0.289164573,0.62067157,-0.011659964,0.999882042,0.288595527,0.624006093,0.033006549,0.999911368,0.329258293,0.562634528,-0.167155087,0.999924183,0.344847083,0.584612846,0.190917075,0.999784768,0.335317791,0.732537508,-0.194235519,0.921438336,0.357627392,0.72735846,0.1909426,0.072820023,0.2518107,0.727831304,-0.087849699,0.945881248,0.273169488,0.727543235,0.086210929,0.292223185,0.235813156,0.730703712,-0.102907501,0.947562575,0.249693185,0.733393312,0.07677085,0.352144808,0.233685821,0.711864889,-0.099402271,0.943737209,0.247073486,0.718018234,0.071474954,0.330613732,0.23897405,0.709475875,-0.082498752,0.895270407,0.252762616,0.712078393,0.077366315,0.314257175,0.487261921,0.572255015,-0.108089171,0.999901891,0.484886318,0.58589834,0.107997999,0.999909699,0.603811145,0.672211528,-0.042099953,0.281849653,0.594721556,0.686888397,0.135415718,0.027073562,0.717967451,0.687975705,0.025697367,0.670455933,0.707784593,0.703228176,0.22513172,0.103480637,0.74299866,0.674249291,0.026846077,0.618949771,0.729104102,0.695675373,0.231216818,0.221965179,0.727787256,0.771413863,-0.054288901,0.731469631,0.713925958,0.774166882,0.182532817,0.221569791,plank_good
0.276896209,0.631033421,0.01577913,0.999956429,0.264897883,0.617012441,-0.00843829,0.999949634,0.265170902,0.612747192,-0.008613399,0.999939144,0.265519023,0.608324468,-0.008558361,0.999960124,0.264055103,0.618620813,0.026832338,0.999971569,0.263784766,0.616252363,0.026514294,0.99996829,0.263490558,0.613738239,0.026458835,0.999981046,0.271154493,0.579696417,-0.074515156,0.999958932,0.270724893,0.584157705,0.084857054,0.999962866,0.289345384,0.620138645,-0.001903152,0.999889731,0.288755864,0.623366356,0.042228743,0.999916792,0.32972002,0.562617064,-0.157336578,0.999926984,0.345275223,0.584156156,0.197189286,0.999790609,0.335382968,0.732492566,-0.186894923,0.92421025,0.357886046,0.725113571,0.22075817,0.071680918,0.251949698,0.72727257,-0.089035898,0.947522342,0.27431196,0.72694236,0.147963569,0.282778323,0.236089557,0.729775786,-0.105138861,0.948584974,0.251116186,0.732073247,0.143911809,0.341373146,0.233816817,0.711891294,-0.101250924,0.944741905,0.248650894,0.717665255,0.137184247,0.31994307,0.239069775,0.709564209,-0.083876453,0.897045135,0.254446119,0.711767972,0.139551416,0.30485782,0.487188429,0.572598934,-0.108078144,0.999902308,0.484903783,0.585122705,0.107987508,0.999909818,0.604135096,0.672227621,-0.043285839,0.289137214,0.59533602,0.683433175,0.137643009,0.027805384,0.718273401,0.688034773,0.018641667,0.669861197,0.707735062,0.70188123,0.225060061,0.102202378,0.74367404,0.674254,0.019670876,0.615629971,0.729234695,0.694991887,0.231134877,0.220477417,0.726903617,0.771404088,-0.05827906,0.728740811,0.712951899,0.773085773,0.185659617,0.218984738,plank_good
0.276896477,0.630025744,0.005679333,0.999959052,0.26498872,0.616157353,-0.018988075,0.999952734,0.265283078,0.611996353,-0.019163856,0.999943018,0.265667468,0.607704163,-0.019107226,0.999962628,0.264144748,0.617602527,0.015998241,0.999973178,0.263902724,0.615007341,0.015683599,0.999970078,0.263670295,0.612271488,0.015634527,0.999981999,0.271423429,0.579345524,-0.084084116,0.999961853,0.271001786,0.583508015,0.073681027,0.999965131,0.289472222,0.619440079,-0.011554645,0.999896884,0.28882286,0.62226218,0.032262053,0.999921739,0.330134273,0.562616765,-0.161198005,0.999929309,0.345500529,0.582705855,0.188541368,0.999792635,0.33550033,0.732502878,-0.193285003,0.927617013,0.358473003,0.723372877,0.20687227,0.070093036,0.251945168,0.72695905,-0.106188305,0.950657785,0.275467426,0.725845695,0.121264502,0.276409477,0.236090004,0.729707062,-0.124088839,0.951574326,0.251882702,0.731776834,0.114849098,0.336464792,0.233807966,0.71219641,-0.120418772,0.947944999,0.249542058,0.717449427,0.107621431,0.315063506,0.23904787,0.709789872,-0.101382345,0.902723312,0.255310446,0.711250007,0.112403788,0.301110327,0.487872899,0.572629392,-0.107808031,0.999899626,0.485516161,0.583280861,0.107722536,0.999906182,0.604411125,0.672237515,-0.042043529,0.306044638,0.596019626,0.681398034,0.135508925,0.02972994,0.718608618,0.688123822,0.020472476,0.682706058,0.707802176,0.700259507,0.222432777,0.106271841,0.744080365,0.674379826,0.021403633,0.627155483,0.729559243,0.694483995,0.228516445,0.227320269,0.726189256,0.771355808,-0.058661137,0.738625288,0.711480141,0.772520363,0.179980248,0.226855949,plank_good
0.27661711,0.629652202,0.005638553,0.999961495,0.26496017,0.615833342,-0.019051367,0.999955654,0.265282333,0.611653745,-0.019227572,0.999946594,0.265681624,0.607385993,-0.019171113,0.999964952,0.26403299,0.617256045,0.015969163,0.999974728,0.263804853,0.614568233,0.015655007,0.999971747,0.263600677,0.611776531,0.015606329,0.999982953,0.271611482,0.578990996,-0.083766364,0.999964535,0.27115038,0.582799613,0.073821515,0.999967158,0.2895163,0.619305253,-0.011570929,0.99990356,0.288831413,0.622135401,0.032212347,0.999926448,0.330456346,0.562776923,-0.161321461,0.999931574,0.345566332,0.582504034,0.188695505,0.999794602,0.335568547,0.732387006,-0.195794106,0.93055588,0.358541489,0.723870397,0.203429893,0.06806805,0.251939982,0.726840317,-0.108809628,0.953347266,0.275402129,0.725957632,0.113879651,0.268974334,0.236107588,0.730235279,-0.127312362,0.954147995,0.251794755,0.732705593,0.106740765,0.330863982,0.233806148,0.713235736,-0.123446889,0.950708985,0.249504507,0.717566013,0.099751391,0.309503406,0.239047632,0.71024996,-0.104024746,0.907641172,0.255406886,0.711346686,0.104923338,0.296883285,0.48825255,0.572654366,-0.107779749,0.99989754,0.48599425,0.581959426,0.107694522,0.999903083,0.604499996,0.672276735,-0.043008078,0.319660068,0.596229374,0.681518793,0.136575907,0.031141303,0.718881309,0.68843621,0.02030916,0.692567468,0.707671106,0.697016835,0.22566174,0.108972438,0.744315803,0.675588489,0.02100534,0.634687304,0.729553103,0.691488445,0.231908426,0.231502637,0.724699616,0.769521892,-0.06056565,0.745949924,0.709591985,0.768580377,0.183112606,0.231445268,plank_good
0.276511401,0.629168749,-0.006006796,0.99996388,0.264967531,0.615592718,-0.030048467,0.999958456,0.265301734,0.611375511,-0.030224716,0.999950051,0.265716225,0.607118249,-0.030167647,0.999967158,0.264028102,0.617113888,0.004279753,0.999976218,0.263792455,0.614428997,0.003965068,0.999973357,0.263581663,0.611634374,0.003915582,0.999983847,0.271666527,0.578684509,-0.091679655,0.999967039,0.271206439,0.582130015,0.062946804,0.999969184,0.2895464,0.619051695,-0.021894598,0.99990958,0.28883934,0.621928394,0.020980187,0.99993062,0.330688387,0.562658727,-0.164188012,0.999932587,0.34561193,0.581662536,0.176973626,0.999792159,0.335915595,0.7324332,-0.196309879,0.933344722,0.359302431,0.724318922,0.199393243,0.066408806,0.251864046,0.726843774,-0.114213444,0.955783427,0.276346982,0.72606194,0.113017708,0.257532328,0.236110315,0.730778158,-0.134233221,0.95642668,0.251714706,0.733036101,0.107045054,0.319030702,0.233806178,0.71394819,-0.129248425,0.95314604,0.249450728,0.718601286,0.099656679,0.298142076,0.239043757,0.71090579,-0.109541424,0.911962628,0.2554591,0.711590827,0.104230523,0.286793321,0.488571942,0.572392106,-0.105646782,0.999893546,0.486588866,0.581255674,0.105575576,0.999898195,0.604693234,0.672056377,-0.039139047,0.334428132,0.596522748,0.681660175,0.1332964,0.032933172,0.719250798,0.688448012,0.027080886,0.702893913,0.707810342,0.69723469,0.223145381,0.112899981,0.744476736,0.675976515,0.02819729,0.64558953,0.730218887,0.691616476,0.230052382,0.237737522,0.724645793,0.769210041,-0.052521925,0.75417614,0.709876001,0.768701851,0.180221647,0.23898001,plank_good
0.27647531,0.629052579,-0.005598621,0.999966145,0.264967948,0.615355194,-0.029749336,0.999961078,0.265306413,0.611165643,-0.029927338,0.99995327,0.265730172,0.606934309,-0.029872453,0.999969244,0.264019191,0.616929591,0.004655814,0.999977708,0.26377961,0.614273369,0.004339864,0.999974966,0.263564467,0.611528397,0.004287303,0.999984741,0.271703213,0.578565478,-0.091848873,0.999969363,0.271227151,0.581914306,0.063056774,0.999971092,0.289599955,0.618828356,-0.021690497,0.999915302,0.288841248,0.621852398,0.021284163,0.999934733,0.330814689,0.562187731,-0.165315241,0.999935091,0.345614463,0.58043015,0.176855519,0.99979502,0.336128026,0.732581973,-0.192636475,0.93593663,0.359264046,0.723178267,0.194839165,0.064448856,0.252527267,0.726838291,-0.093092456,0.957476914,0.276550233,0.72595036,0.110243082,0.247848898,0.236528233,0.730763972,-0.109140277,0.957930207,0.25163883,0.733526826,0.10223227,0.309347749,0.234091535,0.714096785,-0.105979651,0.954746306,0.249392167,0.718677759,0.095305324,0.288701504,0.239461273,0.711091757,-0.088253878,0.914860427,0.255620927,0.71164304,0.1013529,0.278517872,0.48868075,0.572369933,-0.105250016,0.999894679,0.486873984,0.580219805,0.105181456,0.999898493,0.604882777,0.671133101,-0.039359581,0.349615455,0.596803963,0.681761563,0.131844237,0.034520045,0.719674408,0.68844527,0.025898976,0.712486267,0.708300948,0.697417855,0.215287074,0.116029836,0.744603813,0.675969243,0.026775042,0.653321862,0.731081903,0.691984057,0.221202582,0.242044136,0.724317372,0.76867485,-0.054732103,0.761276424,0.709923148,0.768930435,0.176564887,0.244243637,plank_good
