nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility,label
0.432890385,0.208683193,-0.008784492,0.999936879,0.436070442,0.191293597,-0.026634574,0.999875247,0.437125474,0.19039987,-0.026734989,0.999867678,0.438025653,0.189550504,-0.026682263,0.999884188,0.436259449,0.191334605,-0.004621758,0.999922931,0.437404573,0.190543175,-0.004819961,0.999935925,0.438580245,0.189609036,-0.004888691,0.999958396,0.448945373,0.189217567,-0.06888435,0.999912798,0.449149519,0.189744264,0.029823441,0.999929011,0.438644588,0.219930127,-0.018884126,0.999801576,0.438396007,0.219804987,0.008305202,0.999778211,0.462541103,0.250883877,-0.12147586,0.999923527,0.468301445,0.276234537,0.110392995,0.999608219,0.430771649,0.347047627,-0.135584995,0.974996626,0.443516999,0.386380076,0.146213025,0.08187411,0.384925365,0.423505217,-0.095512338,0.953640521,0.401421338,0.444927782,0.11642985,0.214833871,0.378174484,0.449867576,-0.114376903,0.941261768,0.389735669,0.46046707,0.116751,0.251994014,0.374156147,0.449278891,-0.103683047,0.937255859,0.387312949,0.459197789,0.094548233,0.250703186,0.377516359,0.44379738,-0.089328118,0.907224298,0.391153425,0.455081105,0.105193168,0.256530315,0.496294081,0.465568453,-0.068299606,0.999946058,0.496068478,0.467645407,0.068245374,0.999932528,0.421093911,0.57557857,-0.067701079,0.9610641,0.434872627,0.567037225,0.096551903,0.228017971,0.47781837,0.718437612,0.008325384,0.955904603,0.485123634,0.69182086,0.161260098,0.311360955,0.493239969,0.732348621,0.015285075,0.935166955,0.497676581,0.71009028,0.167149693,0.451085448,0.447772771,0.769764602,0.000257189,0.956590116,0.456831396,0.735517383,0.155737132,0.443427533,squat_bad_foot
0.455647051,0.097221322,-0.067186467,0.999711156,0.459061682,0.08231318,-0.081623599,0.999652863,0.460511386,0.081240281,-0.081749588,0.99966234,0.461707115,0.080242887,-0.081652761,0.999653399,0.459009826,0.082955897,-0.062880479,0.999745369,0.460461676,0.082336634,-0.06314788,0.999801517,0.461887091,0.081621125,-0.06324356,0.999838948,0.473273277,0.080123477,-0.108260557,0.999783397,0.473537266,0.082055703,-0.023577787,0.999746442,0.461781174,0.11139442,-0.07017339,0.999110043,0.461787909,0.113200463,-0.04742742,0.999104977,0.482103199,0.143217012,-0.139075622,0.999970496,0.491770566,0.155341774,0.052253306,0.999457359,0.473916411,0.260082662,-0.176958665,0.983854413,0.484914511,0.282744348,0.06774722,0.018998772,0.44650811,0.369855762,-0.191629708,0.942813158,0.474683285,0.363254696,0.03573342,0.198498353,0.442744195,0.402853608,-0.209740564,0.921187997,0.469309837,0.391281724,0.032157637,0.229615211,0.43693617,0.401159674,-0.20726797,0.919170022,0.465659469,0.389936537,0.018931624,0.235780507,0.437927514,0.391433239,-0.189277798,0.854758263,0.466082931,0.3822878,0.028480088,0.198601827,0.468852103,0.379610747,-0.064576678,0.999890447,0.477044642,0.382101268,0.064568825,0.999797761,0.46293056,0.551000953,-0.009467254,0.766819298,0.470667392,0.539990664,0.09991172,0.040657703,0.485963821,0.71681267,0.036588866,0.849107027,0.487260371,0.686775923,0.14305152,0.12634638,0.499029279,0.744207561,0.037353162,0.825638533,0.500809014,0.708716452,0.143947288,0.255335867,0.450454205,0.769545972,-0.018833023,0.881331742,0.458969504,0.718282998,0.105907723,0.279034883,squat_bad_foot
0.45835501,0.104953848,-0.025611388,0.999860108,0.464328378,0.089485541,-0.038702659,0.999772668,0.465918154,0.088756859,-0.03881849,0.999770701,0.467256337,0.08804331,-0.038736857,0.999750793,0.464803576,0.089588068,-0.02064503,0.999879241,0.466566831,0.089296311,-0.020903029,0.999909341,0.468178451,0.089046523,-0.020960506,0.999935567,0.478923321,0.091566905,-0.065152958,0.999827683,0.478450418,0.093905807,0.016974084,0.999903202,0.463596642,0.117513366,-0.028924303,0.999467075,0.463903308,0.119331911,-0.006833079,0.999620318,0.483268172,0.148672089,-0.102624513,0.999975204,0.494619519,0.17615889,0.094653204,0.999818563,0.442228824,0.240422681,-0.128397793,0.983004272,0.466142207,0.296604842,0.119758517,0.019971464,0.388100505,0.293507606,-0.123263128,0.973988235,0.417975456,0.350622326,0.076307856,0.32283169,0.376288831,0.307760477,-0.141569555,0.968672395,0.40277341,0.361385167,0.071951889,0.369517714,0.374155134,0.307029426,-0.136872306,0.967756808,0.399985284,0.363926858,0.050441619,0.380563855,0.377998054,0.304475248,-0.119660378,0.935930014,0.403380752,0.359486192,0.06535013,0.312547058,0.473672479,0.386046469,-0.063733689,0.999859035,0.479077965,0.390670151,0.063695572,0.999791801,0.475280702,0.560068369,-0.026775418,0.727314949,0.478855968,0.55022049,0.075132355,0.018517265,0.490078419,0.72686708,0.001574904,0.788357139,0.488834053,0.700426221,0.119371168,0.048896503,0.500865102,0.756878138,0.000414285,0.796194434,0.500591457,0.726612329,0.121281929,0.148310483,0.451031297,0.762372732,-0.053389851,0.84040308,0.457672954,0.726163089,0.086435653,0.165472254,squat_bad_foot
0.405047864,0.332302809,-0.003768091,0.999951303,0.406473756,0.314275146,-0.021631252,0.999914527,0.407655984,0.312954754,-0.021749046,0.999911189,0.408714622,0.311842561,-0.021720128,0.999916673,0.406408727,0.313986272,0.001193072,0.999952734,0.407532096,0.312462628,0.000992887,0.999963701,0.408692926,0.310886562,0.000942156,0.999973953,0.420189023,0.308463573,-0.069299288,0.999941468,0.420290023,0.308220506,0.034181707,0.999958396,0.412529171,0.343250483,-0.016704299,0.999826908,0.412556231,0.343107074,0.012085092,0.999839783,0.438904256,0.371495813,-0.12130668,0.999940693,0.452570766,0.37951985,0.11500892,0.999708176,0.386425912,0.451947331,-0.128093407,0.973700941,0.420810223,0.466610849,0.133994818,0.120492548,0.338138759,0.498855859,-0.053873856,0.959103286,0.37351954,0.477520078,0.080102138,0.445724368,0.333047956,0.507298112,-0.069120757,0.953621268,0.363291055,0.472453654,0.077219442,0.483016729,0.32745555,0.48432678,-0.059975896,0.949416339,0.360473752,0.472256899,0.062813416,0.483189434,0.339807659,0.494129151,-0.048110243,0.921303451,0.363760829,0.475499541,0.067887649,0.460094839,0.511338055,0.535180807,-0.07067927,0.999910653,0.519682765,0.524892509,0.070552327,0.999884903,0.422238022,0.585900545,-0.044619184,0.925237596,0.445220351,0.571283817,0.14850606,0.164139122,0.483072549,0.723284125,0.045531489,0.952108979,0.489987969,0.686804652,0.238032967,0.324334383,0.497833163,0.742359221,0.056754459,0.943350136,0.502809644,0.706937373,0.246969119,0.453974128,0.450403661,0.769994199,0.045245811,0.958573937,0.463830113,0.723837733,0.249192923,0.489692688,squat_bad_foot
0.428952992,0.186587468,-0.01499849,0.999851644,0.432828248,0.169433013,-0.031888478,0.999774814,0.433942109,0.168862939,-0.032000005,0.999759912,0.434855819,0.168504179,-0.031965744,0.999797761,0.433153152,0.169087887,-0.010669657,0.999848306,0.434559822,0.168535411,-0.010880834,0.999872148,0.436044872,0.168064758,-0.01096377,0.999914646,0.445789248,0.170038387,-0.070240095,0.999873996,0.447271347,0.170049414,0.025012622,0.999853253,0.434719354,0.199980453,-0.024190761,0.999672949,0.434762746,0.200163111,0.002120059,0.999586523,0.461987108,0.231730402,-0.117056839,0.999911249,0.465169042,0.254762113,0.105414018,0.999585271,0.45060128,0.340551168,-0.155160204,0.917408109,0.450830549,0.377142459,0.139478818,0.034776665,0.395198464,0.395791322,-0.136836901,0.769003272,0.401893765,0.41077891,0.09713202,0.121994637,0.386460721,0.398995519,-0.156489402,0.748286307,0.391286045,0.414018273,0.095360331,0.17300202,0.383016586,0.394336998,-0.146599159,0.731154621,0.388566315,0.40989989,0.074309252,0.17049107,0.385983378,0.392466754,-0.131473839,0.674146771,0.390896142,0.407877862,0.085867681,0.165207431,0.494979173,0.452475905,-0.067187451,0.999935091,0.493007511,0.452344686,0.067162849,0.99992907,0.419061244,0.567952394,-0.082976013,0.944327414,0.432199419,0.558192372,0.090468794,0.223953187,0.476044387,0.714050055,-0.009192615,0.951187313,0.481415123,0.682967007,0.150577337,0.368801653,0.493178397,0.726235449,-0.002184193,0.914501429,0.495874405,0.697188199,0.156225339,0.488139093,0.449884117,0.772891104,-0.014282665,0.953561664,0.456789762,0.733545005,0.148503825,0.487107962,squat_bad_foot
0.438521475,0.096744671,-0.041665956,0.99963969,0.440522283,0.079490103,-0.059162151,0.999405861,0.442006081,0.078205004,-0.059290681,0.999389827,0.443205565,0.077007905,-0.059243776,0.99949497,0.44024092,0.079742588,-0.038367804,0.999570131,0.441539764,0.079027154,-0.038608469,0.999639094,0.442759693,0.078280248,-0.038702663,0.999745607,0.453890324,0.076329492,-0.102400713,0.999686658,0.452888817,0.077717952,-0.005403511,0.999614298,0.443933457,0.106631964,-0.050490022,0.999278247,0.44409889,0.107621491,-0.024481585,0.999152243,0.4678666,0.133814484,-0.139576927,0.999941826,0.4796938,0.144407466,0.076515406,0.999592781,0.460209966,0.25261727,-0.162609965,0.94163394,0.477533698,0.266932011,0.099749334,0.040755957,0.437750012,0.36476171,-0.150159061,0.842373133,0.468092799,0.36020714,0.06305445,0.187343374,0.440300822,0.395817906,-0.167712137,0.819958508,0.46593985,0.384051889,0.058973353,0.222910509,0.43748045,0.401237488,-0.166500553,0.811453104,0.461814195,0.384725481,0.040188465,0.222845614,0.436747521,0.388445824,-0.147451699,0.749387741,0.46025008,0.374908894,0.053101406,0.206634223,0.481344014,0.374899566,-0.06402304,0.999934614,0.484133691,0.372463644,0.064023159,0.999899268,0.465308547,0.540904403,-0.032240175,0.818107963,0.468946129,0.534921408,0.064778544,0.137138277,0.482679099,0.714802206,0.000488188,0.861293674,0.485957205,0.693968952,0.104188837,0.222348675,0.494722158,0.733146012,-0.002008667,0.813018501,0.498377532,0.711948991,0.105042122,0.320433855,0.451771617,0.770662606,-0.053406499,0.874524534,0.45783022,0.736466467,0.068514317,0.337245286,squat_bad_foot
0.457069486,0.082326226,-0.065404631,0.999396503,0.463250548,0.065199733,-0.082409047,0.999298692,0.46482116,0.06446813,-0.082584396,0.999270678,0.465924412,0.063762151,-0.08252576,0.999447882,0.463321865,0.065826684,-0.062465038,0.9993909,0.46506235,0.065626256,-0.062733948,0.999436796,0.466755748,0.065344036,-0.062826268,0.9995839,0.475797921,0.067313783,-0.11624793,0.9996472,0.476697892,0.068204246,-0.026022775,0.999179184,0.461466372,0.095053405,-0.070927061,0.998812199,0.461851686,0.096386991,-0.04656975,0.99840939,0.48189047,0.128104627,-0.152157858,0.999972641,0.491038054,0.143129289,0.061409771,0.999281049,0.470584035,0.249896586,-0.18248035,0.954814494,0.485878259,0.26634872,0.080435537,0.00632363,0.443918675,0.362199664,-0.1881385,0.83022058,0.47472623,0.348638892,0.029453121,0.029677028,0.44069469,0.396444917,-0.208242387,0.781180441,0.475722671,0.377769202,0.021947028,0.051564988,0.438469499,0.399235278,-0.209423989,0.770629883,0.472409874,0.381582618,0.003303476,0.051795114,0.439489365,0.390620559,-0.186614439,0.673056841,0.472650141,0.371654689,0.019017022,0.047785088,0.478324085,0.360447735,-0.066316798,0.999946117,0.482916057,0.361184329,0.06632331,0.999883533,0.474080175,0.537494242,-0.031979747,0.769725025,0.475699425,0.531690955,0.068878219,0.086417668,0.485825181,0.716276944,-0.00371985,0.840855956,0.487050712,0.688448489,0.110555895,0.172917262,0.495961666,0.737409055,-0.004573771,0.749032855,0.498653889,0.706844091,0.11145559,0.259536266,0.450058371,0.769718409,-0.074576892,0.8432616,0.457564175,0.725705743,0.068200089,0.282513827,squat_bad_foot
0.422723591,0.161034182,-0.026609169,0.999422491,0.427414745,0.143406704,-0.041926883,0.999312699,0.428662688,0.142430186,-0.042031508,0.999276519,0.429715812,0.141608164,-0.041965071,0.999435604,0.427633882,0.143452153,-0.023348635,0.999451756,0.429037064,0.142682597,-0.023582451,0.999498963,0.430505097,0.141925633,-0.023661243,0.999630332,0.440284073,0.141404286,-0.076033667,0.999623418,0.441775769,0.142184228,0.007537119,0.999275684,0.429088593,0.174581155,-0.033213992,0.998828471,0.429148614,0.17540808,-0.010363354,0.998482227,0.454821318,0.201695248,-0.116348505,0.999959528,0.472845942,0.222370043,0.072335891,0.999205649,0.434300482,0.311965674,-0.134992927,0.967721522,0.457746863,0.350993186,0.099989802,0.015238244,0.376293004,0.398389161,-0.105607636,0.898672998,0.41701445,0.422189057,0.081713624,0.071874224,0.363440394,0.411009699,-0.121317968,0.862813234,0.405119419,0.441264212,0.078816861,0.0850887,0.363196701,0.406320453,-0.114620328,0.859550357,0.40253073,0.438325197,0.060015406,0.085839346,0.367959589,0.405402869,-0.100969128,0.772573292,0.404760897,0.434142172,0.071866237,0.077117525,0.4854092,0.424958736,-0.063030377,0.999887407,0.492769867,0.425104052,0.062999904,0.999801397,0.438739568,0.561591744,-0.050641581,0.700977743,0.455313385,0.558964491,0.082637876,0.035297249,0.483404189,0.723324239,-0.001264328,0.764765739,0.489318818,0.700297177,0.128254414,0.070561469,0.495435685,0.744215965,0.001875167,0.669932544,0.500365913,0.720295191,0.131676078,0.127399519,0.447197944,0.764111936,-0.025527116,0.77881974,0.458090663,0.732118785,0.116180986,0.150107533,squat_bad_foot
0.44853887,0.087035492,-0.058454052,0.9996714,0.453171462,0.067829892,-0.073794879,0.999611795,0.454663306,0.066645049,-0.073963292,0.999596953,0.456071228,0.065520085,-0.07391005,0.999659777,0.453027755,0.068700701,-0.053807009,0.999700606,0.454386652,0.068237312,-0.054075312,0.99973011,0.455825329,0.067719333,-0.054159936,0.99979651,0.466754913,0.067316286,-0.103643052,0.999759793,0.465854734,0.069401711,-0.013142703,0.999583364,0.454022288,0.096797682,-0.062972002,0.999059439,0.454160422,0.098378643,-0.038585875,0.998916209,0.477357239,0.129086345,-0.142512754,0.999678552,0.479513317,0.144108176,0.076413289,0.998671412,0.478139013,0.242984578,-0.173595577,0.960077405,0.476230532,0.260592878,0.102649018,0.081535064,0.459001392,0.362510294,-0.180625513,0.90564537,0.467414856,0.35351029,0.054467496,0.277683914,0.456320673,0.400127441,-0.200032488,0.890389681,0.466888756,0.389331847,0.048189793,0.286299467,0.447808057,0.399920642,-0.200332448,0.884917021,0.458776951,0.390877575,0.027140191,0.286810249,0.448816299,0.389571995,-0.178580791,0.822444797,0.460139394,0.382522434,0.042955514,0.270341575,0.473709136,0.354513705,-0.066902153,0.999924481,0.477250487,0.353609443,0.066905387,0.999871969,0.474997997,0.534297645,-0.032155566,0.819787323,0.476526529,0.528679729,0.053920463,0.085335128,0.482689947,0.71298486,5.07e-05,0.866082191,0.484969825,0.692735612,0.098767735,0.154209137,0.494449914,0.733551145,-0.001333992,0.801298678,0.496650398,0.711234152,0.099818915,0.258044779,0.449273437,0.771718204,-0.068486892,0.865077078,0.455525517,0.742782056,0.053665332,0.277347207,squat_bad_foot
0.427760422,0.122132167,-0.004225023,0.999395013,0.431996405,0.104442954,-0.018517736,0.99932307,0.43297255,0.103887215,-0.018605795,0.999307573,0.433795363,0.103438802,-0.018527828,0.999402404,0.43271789,0.10401842,-0.000363778,0.999473274,0.43435657,0.103410944,-0.000607207,0.999548554,0.43626067,0.102803171,-0.000676502,0.999664366,0.443638861,0.10517849,-0.052380051,0.999578893,0.445679933,0.105374262,0.030671557,0.999319196,0.431561142,0.132913098,-0.010756138,0.998452485,0.431907505,0.133972704,0.011619894,0.99826616,0.458416253,0.160190776,-0.090599217,0.999953151,0.469210804,0.192289159,0.103271924,0.99943161,0.439348131,0.26716426,-0.11897739,0.96499753,0.45011729,0.316995323,0.12879844,0.017060006,0.382497847,0.321479857,-0.110557146,0.920659125,0.401887268,0.35284707,0.090738989,0.14541252,0.37192142,0.338666916,-0.127787873,0.904638231,0.387501419,0.360189259,0.088096343,0.171895832,0.370046765,0.334401876,-0.120058104,0.901513278,0.38494581,0.359345496,0.068723388,0.177864715,0.373985648,0.330696911,-0.106000394,0.832185805,0.387823641,0.356980622,0.080759883,0.149859831,0.480343491,0.387821466,-0.06486012,0.999888957,0.483893543,0.392393082,0.064817108,0.999829113,0.448682249,0.547754169,-0.053112824,0.615560174,0.458381206,0.544193745,0.055933226,0.02534038,0.480216086,0.718875289,-0.027304772,0.724842727,0.483718663,0.695655465,0.097258046,0.05726647,0.493525535,0.738777041,-0.027200721,0.669257998,0.496588171,0.715275168,0.100248151,0.114037879,0.445648313,0.766133726,-0.062777869,0.750432611,0.454095513,0.732884705,0.081369393,0.135812476,squat_bad_foot
